id,FalseSent,OptionA,OptionB,OptionC,label
1935,the clothes are still dirty because I forgot to add laundry water,the clothes can't be washed without water,the water in the laundry is dirtier than the clothes,the laundry machine stopped so I put another coin in,A
1936,air leaked out of the beach ball because it had a picture on it,there were many merchants who sell beach balls in summer,a picture has nothing to do with air tightness in a ball,as time went by the quality of the ball dropped,B
1937,the conversation gradually lulled to silence as more people joined,the topic of the conversation gradually converted to a controversial one,a conversation is usually more active with more people,a radical person tend to come up with more tit-for-tat opinions,B
1938,julia pressed down on a piano key to play a music,julia pressed down on the piano key to see what's wrong with the key,music is usually composed of several different sounds,she was invited to play the piano in front of people,B
1939,vehicles travelled slowly in cloudy days,the cloudy weather reflected the driver's mood,vehicles have lights for cloudy days,the driver usually drive to work on cloudy days,B
1940,lauren gained weight so she had to get her shoes shined,lauren gained so much weight that she couldn't see her shining shoes when she was standing up,she decided to distract people from commenting on her figure,the change of human figure reflects on the size of the clothes,C
1941,the clouds were getting darker so I brought my laptop to work,a laptop should be protected from water,I searched the weather on my laptop and it's going to rain,darker clouds is a forecast of rain,C
1942,the boy lost hold of the soap because it's fragrant,a soap becomes smaller as it's been used for a long time,to hold the soap relies on the texture of his hand and the soap,the soap emitted a fragrance the boy has never smelled before,B
1943,the button on my shirt fell off so I glued the button back on,glue is not an effective tool when it comes to cloth and button,the button was broken so I glued the parts together,the button on my shirt fell off and lost so I found a similar button,A
1944,the celebrity wore sunglasses to help recognition,the celebrity wore sunglasses because she was recovering from cosmetic surgery,a pair of sunglasses helps people disguise,sunglasses is the special token of the celebrity's fans,B
1945,the leader received praise because he raised taxes,the increase of taxes usually dissatisfies the people,he promised to change the policy of higher taxes,the leader received praise for he is a pioneer in paying taxes,A
