id,FalseSent,ref1,ref2,ref3
1727,I brought my friendship to float in the sea,friendship is not a ship,Friendship cannot be floated in sea,Friendships don't float.
1728,he won a prize as best thief,no one will award the thief,Thieves are convicted of crimes.,A thief isn't given a prize.
1729,I don't know what's my real gender,people know their genders,"Everyone knows what their gender at birth was, even if they do not later identify with it in any way.",You only have one real gender at birth.
1730,Joel said hello to his kids before traveling to Africa,people say goodbye to each other when they are about to be separated,"When going away, you say ""bye"", not ""hello""","Joel would say goodbye, not hello."
1731,you will find a payment counter in a police station,the police station is not a place of consumption,The police are not paid for their services by private citizens.,The police station does not have a payment counter
1732,writing a story requires a beautiful voice,voice is useless in writing a story,You don't need a physical voice to write a story.,Writing is prose not vocals.
1733,a life jacket can save your life when you are falling from a high place,life jackets are used to float in water,Life jackets are for use in the water.,"A life jacket can stop you from drowning, but it won't help you in a fall from a high place."
1734,I love my girlfriend and I want to break up with her,people don't want to break up with their lovers,If you love someone you wouldn't want to break up with them.,you dont breakup with someone you love.
1735,humans can be identified by their unique names,different people may have the same names,Many humans have the same names.,"human names are not unique, their fingerprints are."
1736,it has been rainy for a long time and the river dried up,the rain will bring water to the river,The river can't dry up during a long rain.,The river would flood with lots of rain.
1737,I attended a classical concert to enjoy the paintings,the concert is a music activity,Concerts don't generally involve paintings but music.,Concerts are for music.
1738,music is a form of artist,artists are humans,An artist is a person.,music is not a person
1739,a plastic stove is a heat source,plastic can't burn,a plastic stove is a toy,A plastic stove can not actually produce heat without melting.
1740,"where knowledge begins, science ends",knowledge promotes the development of science,Science is our main source of knowledge.,Science is knowledge.
1741,many animals eat air but humans don't,air can't provide energy,air is not a food or drink,air isn't edible
1742,I need to bring my kitchenware when I go to the restaurant,I don't need to cook in the restaurant,The restaurant should provide kitchenware.,Restaurants supply all the kitchenware you will need because they are preparing and serving the food.
1743,I am so unlucky to find my true love,finding true love is a very lucky thing,Finding your true love is lucky.,You would be lucky to find true love.
1744,the sun rises sometimes in China,the sun shines on China every day,The sun rises every day for every country.,the sun rises all the time not just sometimes
1745,I called the front counter and asked them to send some drugs to my room,drug trafficking is illegal,Drugs are ordered from a pharmacy.,A front counter would not ordinarily deliver drugs to somebody's room.
1746,they have reserved a table for us in the theatre,reserving tables happens in the restaurant,In the theater there are only seats for reservations.,A theater usually only has seating and no tables.
1747,I promised to help my boyfriend because I was too busy,being too busy can't be the reason you help others,You can't help anyone when you're too busy.,If you're too busy you won't have time to help your boyfriend.
1748,football players wear short sleeves to protect themselves,short sleeves have poor protection,Football players wear padding to protect themselves.,short sleeves will not protect you
1749,I want to make an appointment for a facial last week,you can only make appointments for future events,it's impossible to go back in time to make an appointment,you can only make appointment for the future not for the past
1750,plastic surgery is for health,plastic surgery can't make you healthier,Plastic surgery is often elective and for cosmetic purposes.,plastic surgery is cosmetic
